"department","total_count","terminated_count","termination_rate"
"Marketing","480","43","0.0896"
"Business Development","1569","146","0.0931"
"Support","903","92","0.1019"
"Services","1618","171","0.1057"
"Product Management","623","66","0.1059"
"Engineering","6387","685","0.1072"
"Sales","1745","188","0.1077"
"Accounting","3192","347","0.1087"
"Human Resources","1727","190","0.1100"
"Research and Development","1032","114","0.1105"
"Training","1622","188","0.1159"
"Legal","299","39","0.1304"
"Auditing","50","8","0.1600"
